latitude,longitude,recap,species,length,width,tail,tail_notes,mass,mass_notes,left_tag,right_tag,notes,chel,burr,algae,mud,sea_squirts,fibropapilloma,damage,damage_notes,shark_damage,substrate,depth,condition
-25.73633,113.65017,no,loggerhead,85,71,-6,,NA,,84277,84295,NA,yes,no,thin,no,no,no,none,NA,0,sand,5.7,flat
-25.7355,113.64967,no,loggerhead,96.5,88.5,-5.5,,NA,,84289,84288,NA,yes,yes,thin,no,no,no,none,NA,0,sand,4.8,flat
-25.75533,113.676,yes,loggerhead,75,71,3.5,,NA,,84287,54867,NA,yes,yes,thin,yes,no,no,car,small_notches_right_read_of_shell,0,seagrass,11.5,slightconcave
-25.82117,113.73033,no,green,77,68,6.5,,NA,,NA,84284,NA,no,no,thick,no,no,no,none,NA,0,seagrass,3.8,flat
-25.83183,113.73067,no,green,102,94,7,,NA,,84283,84299,NA,no,no,thin,no,no,no,none,NA,0,seagrass,4.1,flat
-25.84302,113.73209,no,loggerhead,79.5,68,3,,NA,,84290,84251,NA,yes,yes,none,no,no,no,none,NA,0,seagrass,4,flat
-25.83893,113.73209,yes,green,108.5,99,9,,NA,,59480,59481,NA,no,no,thin,no,no,no,none,NA,0,seagrass,6.5,flat
-25.74258,113.74841,yes,green,83,80.5,10,,NA,,84286,51771,NA,no,no,thin,no,no,no,none,NA,0,sand,7,convex
-25.77471,113.79008,no,green,68,62.5,2,,NA,,84206,84300,NA,no,no,thin,no,no,no,none,NA,0,seagrass,5.5,flat
-25.82344,113.7333,no,green,50.5,50.5,0.5,,NA,,84210,84282,NA,no,no,thin,no,no,no,none,NA,0,seagrass,5.7,flat
-25.83957,113.73013,no,green,76,72,1.2,,NA,,84204,84294,NA,no,no,thin,no,no,no,none,NA,0,seagrass,6,slightconcave
-25.83784,113.73166,no,green,104,91.5,3.5,,NA,,84207,84211,NA,yes,no,thin,no,no,no,none,NA,0,seagrass,7,flat
-25.84005,113.7312,no,green,93,86,8,,NA,,84205,84285,NA,no,no,thin,no,no,no,none,NA,0,seagrass,7,flat
-25.8364,113.73401,no,green,108,95.5,8.5,,NA,,84209,84298,NA,no,no,thin,no,no,no,none,NA,0,seagrass,7.2,flat
-25.83311,113.7347,no,green,76,66,4,,NA,,84208,84257,NA,yes,no,thin,no,no,no,none,NA,0,seagrass,9,slightconcave
-25.79889,113.73402,no,green,79.5,74,4,,NA,,84275,84261,NA,yes,no,thick,yes,no,no,none,NA,0,seagrass,10.9,slightconcave
-25.81973,113.73261,no,green,109,101,8,,NA,,84263,84264,NA,yes,no,thin,no,no,no,none,NA,0,seagrass,8,flat
